Although not very religious myself my wife and I experienced a service with choir that blew us away. If you get the chance sit and listen the sound gives the feel you witness from the TV ie weddings etc only Dre back we missed the time slot for viewing the inside all over. One to return to me thinks!,"July 21, 2019"
"Your contribution is gbp20.00 for entry, try and go early before too many people come or go to a service.","July 21, 2019"
I didn’t see this place Included on any “London attraction” tours and it’s totally worth stopping by. It’s pricy to get in but you will be allowed in for free if you are praying. Please don’t scam the system and pay if you want to tourist because it goes back to the this church and restoration efforts. It’s amazing,"July 21, 2019"
Beautiful cathedral. Our tour guide gave us a virtual type tour before we went in so we had an idea of the history. A must see in you're in the area.,"July 20, 2019"
"My son and I visited this Cathedral, it was Magnificent. On the London Pass. Rivals Italy. My only issue is no photography allowed. Unlike Italy where you could take pictures of all the beauty.","July 20, 2019"
"This is a Christopher Wrenn masterpiece and the final resting place of many military leaders. The hike to to top is definitely worth the trip and not as strenuous as it sounds. There is a great tribute to the American soldiers who died in WWll. In addition to all of that, it is an active place of worship. It's worth the visit for several reasons.","July 20, 2019"
"Went to see the church due to its importance in overall British history. The church itself is lovely and there is much to see on the main level. I found the crypt was actually my favorite place to discover the memorials and markers for famous people in British history. It was peaceful, but required you to look at the floor & the walls to find some of the very important markers.I wanted to go to the whispering gallery, but could not as it was closed the day of the visit. We thought we were climbing up to that gallery via the stairs, but soon learned our error. Note, if you are claustrophobic, do not do this climb, especially when London is having a heat wave. The stairs are close and airless and the humidity that day was oppressive. We were not warned of this in advance by the staff in front of this access.Despite being out of shape and in our late 40's, my sister in law and I did make it to the top of the 500+ steps to see the view of London laid out in front of us. While it was a great view - I would recommend for those with limited physical capabilities or claustrophobia like I have that a view from the London Eye is just as good and a whole lot less difficult.","July 20, 2019"
"Didn't pre book tickets so had to wait for some 20 mins to clear security before buying our tickets. If you pre book you are more or less straight through security.Multi lingual headsets available (included in price) and give a comprehensive guide through the Cathedral.Whispering gallery/floor closed on our visit so it was all the way to the top , last third becomes narrower/steeper but easily accessible. One way system operates on last third Once at the top the views are tremendous, if only you could buy a cold refreshment there as you can do at the Shard. Thoroughly recommend.","July 20, 2019"
"Its beautiful, but at 20 quid, its expensive to enter. Not worth that kind of money in my opinion to go in. Notre Dame and Cologne cathedrals were free to enter.","July 20, 2019"
Arrived a tad late for tour but happened to have a mass in 15 minutes. We stayed and enjoyed a service and Latin chorus it was great. Afterwords we wandered around and enjoyed the first level of the church,"July 19, 2019"
"St. Paul’s Cathedral and Westminster Abbey are the two main churches in London.St. Paul’s Cathedral is located in the City of London and you can see it from everywhere from the opposite side of the Thames. It’s now at the end of the Millennium Bridge.You can take lovely pics from outside and inside.The climax is for me the Whispering Gallery .You have to go upstairs to the gallery and there you can hear this sonic anomaly.The way up is sometimes really narrow, but the goal is perfect.","July 19, 2019"
"Beautiful church with plenty of history behind it. If you are physically able, take the stairs up to the galleries on top of the church, it’s well worth the climb and you’d get a great view of the city. ","July 19, 2019"
A trip to London without visiting St. Paul's is out of the question. Christopher Wren's work shines in this cathedral. If possible walk up the winding staircase in the dome at least half way. The views of the city are fantastic.,"July 19, 2019"
"We used our bus passes,free in the England,to get here,viewing all sights on the way.We are Seniors,and active,sight see,ersAs we alighted the bus we were amazed at the huge dome and size of the building,so we walked around the perimiter,past the long que of visiters waiting in line to enter,then circum navigateing around its perimiter,shady gardens,display board of its history.Then on to London bridge,whistle stop tour.","July 18, 2019"
I love this Cathedral and attended an organ program. The beautiful music and outstanding architecture made for an enjoyable experience. ,"July 17, 2019"
"Even if you don’t go inside, this cathedral is magnificent. In my opinion, the best way to experience it is to go to a church service. Whatever your religious affiliation, or not, it is a moving experience. My husband and I went to Sunday morning mass...10 am, about an hour long. And if you go for a service, there is no admission charge!","July 17, 2019"
"Absolutely beautiful working church, that serves more like a museum than a church. We hiked up the top and were rewarded by a breathtaking view of London. It's super crowded, so it wasn't easy to walk around, but the site was something to behold.","July 17, 2019"
"We attended an Evensong Service at St. Paul's and highly recommend this quiet, beautiful service as a lovely way to experience the Cathedral. The service happens daily, and we went at 5 pm. In addition to getting to see the beautiful interior of the church without paying admission, it was also a nice chance to rest our tired feet after a full day of walking! We arrived around 4:45, and as we walked in they announced that the Quire was open for seating. We were lucky enough to get a seat in the Quire, which provided a stunning view of the High Altar. The service itself was brief and contemplative, allowing us the chance to really experience the majesty and tranquility of the Cathedral.","July 17, 2019"
"Impressive, large, brilliantly decorated. Great help from volunteers. Good audio guide, please allow at least 2 hours for your stay.","July 17, 2019"
Sadly it's come to this . £20! Quite annoying seeing as my spending of £50 at the church shop surely bore them some profit.Admire the architecture from the outside!,"July 17, 2019"
"I was lucky enough to have a chance to watch the chorus to sing hymns, they sang beautifully!!! I enjoy visit St. Paul's Cathedral","July 16, 2019"
Went to visit St Pauls what a wonderful experience. Staff are so nice and helpful and willing to answer any questions. Went to the crypt which was great and climbed the steps to the top of the dome. Queues were big but staff efficient and we moved quickly. Views from the top spectacular. Stayed for evensong which was the icing on the cake. Hearing the choir sent a shiver down my spine. If you only do one thing in London make it St Pauls!,"July 16, 2019"
"Evensong at St. Paul's was a beautiful and centering pause in a busy sightseeing day. Regardless of your faith background or lack of it, I believe everyone can feel the timeless sacredness of the traditional evensong worship.","July 15, 2019"
St Paul’s Cathedral is a must see attraction in London. The history of the building is impressive and the views from the top are even more impressive. I highly recommend visiting the cathedral and taking the hike to the top.,"July 15, 2019"
"If you go to London, take this short walk over to St Paul's to experience this magnificent cathedral. While you will pay to get in, the money is well spent. Be sure to visit the underground areas as well. ","July 15, 2019"
"Visiting St Paul on a clear day is a must, when you arrive at the top after 528 steps, the reward is so satisfying. 360 views of London and unparalleled. Photo are not allowed inside, I guess they are protecting the beautiful photo ceiling from copycat. Highly recommend but make sure you eat well before the climb.","July 13, 2019"
"We had visited St. Paul’s three years prior as part of a tour group and, unfortunately, didn’t have time to really explore. This visit, we were on our own and took the time to join one of the cathedral's own guides who gave us a more thorough understanding of the magnificent structure. I would absolutely recommend doing this. St. Paul's guides are well versed in the history and art and give a very good tour. Our guide talked about the view from the top of the dome so we took the challenge to climb all 528 steps to the top (there is no lift). Don’t get so caught up in the steps that you miss the small glassed hole near the top that will give you a view straight down to the floor of the cathedral. The view of London from the summit is spectacular but hold onto your hat. It’s windy!","July 13, 2019"
"Beautiful to take photos at from the outside, if you get the chance to walk thru the garden when it’s open or sit in it, i would definitely do it. Very peaceful.The £20 charge to go inside is too steep tho. It’s only free to go in for worship service. ","July 12, 2019"
"We visited St Paul’s due to having a London Pass. When we arrived at St Paul’s we decided to go on the guided tour which was 90 minutes long but I definitely recommend it, you get to go to areas of the cathedral what the public aren’t allowed to and also find out lots of interesting facts about the cathedral. After our tour we went up the stairs to the galleries (528 to the golden gallery) although it was a lot of steps it wasn’t that tiring as there is quite a bit of space for rests in between and other floors. The only problem is there is no wheelchair access to the top as it is all stairs. But once you reach the golden gallery the views are incredible.","July 12, 2019"
"We brought 18 college students to SPC as part of a class on the Culture and Economics of the United Kingdom. Several did walk all the way to the top. They loved the view. The audio/video guide is excellent. The artwork is amazing. If you are not awed by the architecture, you may never be awed.","July 12, 2019"
Prepurchase entry to avoid a long queue.well worth a visit as its a wonderful well presented cathederal.guides are very knowledgable and give a breakdown of the sights 1000 year history,"July 12, 2019"
"St. Paul’s Cathedral is a MUST SEE in London. While the architecture is certainly amazing as is its rich history, you MUST go climb the stairs to the top. It’s a long and narrow climb which my mom and sister wouldn’t do. As a very claustrophobic person, I can attest that it’s truly worth it. The view at the top is unbeatable. Must do!","July 12, 2019"
"This was our first stop with our London Pass - and rigthly so! The outside architecture was stunning, and the inside was jaw-dropping. We spent more than an hour inside, but there were more to see. Very rich in culture and history.","July 12, 2019"
"This is a very impressive cathedral, both inside and out. It cost 20 pound per adult, 17.50 if over 60.The ceilings are awesome and the dome is very impressive. I went up to the top of the Dome and the views are spectacular, worth the 500+ steps up.If you are in London, it is worth the look.","July 12, 2019"
"great audio tour, but definitely sign up for the separate Triforium tour, gets you to the ""attic"" and other off limits rooms, though the library is closed for renovations","July 11, 2019"
"book online as cheaper and no line. spent an hour there, plenty if time to see everything. if you want to look at the dome just go to a service. not majorly busy loads of space when you get in. a little away from main tourist traps so less huge crowds i think. ","July 11, 2019"
"This is a stunning and beautiful building, but at £20 it isn’t cheap. If you don’t like heights or confined spaces then the balconies aren’t for you and the Whispering Gallery was closed to allThe audio guide is superbIt’s a “must see” but you’d only go once! And if you want to light a candle to a loved one that’s an extra donation","July 11, 2019"
"St Paul's is such an iconic sight on London's skyline and the inside is something to be seen.We booked tickets on-line the day before our visit which are discounted against the gate price. Tickets get you access to all areas of the cathedral, inside is huge and there is plenty of room for those exploring and those worshipping.Photos are permitted except during services.We explored the stone and golden galleries, access to both is by stairs, 528 steps in total and 85 metres from the Cathedral floor but the views are worth every step.","July 11, 2019"
"Amazing 360-degree view after climbing 528 stairs (be aware, no lift!). Unfortunately, the Whisper gallery is closed until further notice. You need at least 1.5 hours to visit it properly, knowing that quite some spaces close 45 minutes prior next service.Tip: use the 2 for 2 offer from National Rail (also on Travelcard) to save on entry fee!","July 11, 2019"
"We bought our tickets thru this app. Entrance was easy. Once in past ticket desk, to your right is where to ask about a guided tour. We highly recommend it. The guide was excrllent and funny. Lasted 90 minutes and we felt we had see all of the best spaces. It is a lovely place of worship.","July 10, 2019"
I have always wanted to visit St Paul's cathedral and I had the opportunity to visit yesterday and I wasn't disappointed as it was quite impressive. I would have liked to have gone inside but there was a bit of a queue and time was a bit of a premium so maybe next time.,"July 9, 2019"
"I was in awe of this magnificent and beautiful cathedral. The architecture and design is beautiful. We climbed the over 500 steps to the dome! Then the crypt contains many beautiful effigies and tombs. We were there a little over an hour and could have stayed longer. They held mass and prayer at different times while we were there. Amazing to see where Princess Diana and Prince Charles were married, and the Queen’s Jubilee....","July 9, 2019"
"The cathedral is stunning. The symbolism in the design, stained glass and wall paintings is very inspriing.","July 9, 2019"
"My friend and I went to St.Puals yesterday. As we both had bought a weeks rail card we were able to claim the ‘2-for-1’ special which definitely was worth it. You just need to register online, print the paper and present it at the queue when purchasing tickets. The cathedral is absolutely amazing! We were lucky enough to see the choice practicing. The walk up to the very top is quit the adventure! There are wooden steps up one part and then to get to the top it’s a spiral metal staircase. Definitely not for the feint hearted!","July 8, 2019"
"Beautiful cathedral!! Pre paid tickets gets you in slightly faster, but if you have no ticket I recommend you arrive at opening or slightly after as the line gets a bit long. The cathedral is so interesting, make sure you get the headphones to hear about the history. Also, only climb the stairs to the top if you are semi fit! There is a lot!! If you want a great picture of the cathedral, head to the shopping centre close by and go up the lift to the top level you will get a magnificent photo ","July 8, 2019"
St Paul's cathedral is an architectural wonder. To have the most serene experience you have to visit inside. There are 2 ways. First is you do a guided tour with tickets costing somewhere around £20-25. The second way is that you visit the cathedral when there is a service. We went in at the 5pm service so it was free to go but there was no tour. Either way going inside is a must to see the spectacular architecture. Also you can go to the top with some additional £5.,"July 8, 2019"
"We visited St. Paul's cathedral in March. The dome is a London landmark, and survived the Battle of Britain thanks to volunteers on the roof who removed German incedndiary bombs by hand during the raids. The inside is awesome, with displays showing its history, including how it changed after the London fire in the 1600's. For Harry Potter fans, a staircase used in the movies for Hogwarts is just inside the front entrance.","July 7, 2019"
"An amazing place, we took a guided tour in St.Paul's rather than the recorded audio tour. The guide was excellent and answered all questions. The interior is absolutely stunning and difficult to describe. Do not miss St.Paul's.","July 7, 2019"
Went to the consecration of four bishops all women and three close colleagues of my wife. Very warm welcome. Real concern on access and disability . Fantaatic choir. Service printed on recycled paper. Thanks,"July 7, 2019"
The wait for entry was lengthy so pre-book tickets. Apart from heading straight in you save £3 a ticket. Your entrance fee includes complimentary head sets in various languages. Personally I’d use the do it yourself option and wander at your leisure. This way you can take everything in at your own pace. We tackled the 528 steps to the top gallery. The view over London is magnificent however a couple of words of warning. To get to the first gallery is about 300 steps and once you start you really have to go to the top. There are stops for a breather and make sure you use them. To get to the very top however involves a vertically winding metal staircase wide enough for you. It has the added attraction of holes in the treads - I don’t like heights and to be honest found the last 100 plus steps a bit scary and claustrophobic. Worth it though. When back on ground level make sure you take the time to do the place justice. You can easily spend several hours taking it all in. It’s a magnificent building and inside is quite stunning. ,"July 7, 2019"
"It was Sunday, in between services and the Organist was playing - sit in a pew before your legs give way underneath you from the sheer majesty of the beautiful sound coupled with the majestic soaring ceilings of St Pauls! I feel blessed to have been in such an incredible place hearing the most magnificent music surround me and fill me with emotion and awe. ","July 6, 2019"
"Don’t miss visiting St Paul’s, and then, don’t skip the hike to the top of the dome. The views are amazing and unforgettable. The interior is amazing as well. ","July 6, 2019"
"The price of admission is rather steep at 20 pounds but this remarkable architectural gem is still worthy of a visit. The highlight was the climb up to the walkway on the outside of the dome. I thought we were going to end up in the Whispering Gallery inside the dome but as you wind your way up the cramped, steep, twisty 500+ steps you arrive at the top to amazing views of London. The climb is not for the unfit or nervous, at points in the climb we had to stop on metal staircases that made me feel a little queasy as it felt you could easily fall down on top of the people below. My legs and knees were aching on the next day and I am in decent shape. Had a cup of tea in the cafe down by the crypts and couldn't help observing that it was a little strange to have a cafe and shop down where so many famous people are interred, seemed a little crass to me.","July 6, 2019"
"St. Paul's Cathedral now charges...and not cheaply....to visit. Decades ago that wasn't the case. Now, whenever I am in London and want to visit the Cathedral I go to Evensong Services. Services begin at 5:00 so I will arrive 25-30 minutes a head of time and that allows me a few minutes to walk around and savor the atmosphere. I will sit on the left side as close to the end of a row as I can.....an announcement will be made about sitting in the 'choir section' and I will then precede to the opened door/attendant who will allow a limited number of visitors into that section for the service. It's a wonderful way to end the day.","July 5, 2019"
The use of audio guide proved very successfully to improve the experience of tourists. Everybody could experience the history of St. Paul Cathedral at his own pace.We can also stop to take pictures at any time . Nice trip,"July 5, 2019"
The cathedral was a beautiful huge structure and we were there for the opening itself. Early in the morning we did the audio guide tour and it gives a history of the cathedral. We did not do the climb to the top but it is so beautiful on the inside and some eminent people are buried here. Not to be missed.,"July 4, 2019"
"Next to St Peter’s Cathedral in Rome, this is one of the largest churches within the Christian world. Needless to say, it is a central piece for the Anglican Church. It is also the place where famous intellectuals are buried, for instance, Sir Isaac Newton and Sir Stephen Hawking. Here, traditional England meets contemporary Britain. This tour is suitable for the whole family. Do not miss it.","July 4, 2019"
"From the exterior, this is a massive cathedral and we visited as part of a walking tour. St. Paul is the seat of the Bishop of London and the mother church of the Diocese of London. Entry is pretty strict (i.e. bag checks) and they discourage visits when a service/mass is in progress. TIP: you can can enter (for free) if attending for worship.In my opinion, there are more impressive churches in London, like Westminster. However, St. Paul is considered one of the most beautiful buildings in the world.","July 4, 2019"
I'm not sure we would have paid the 20 pounds each had we not had the London Pass. That made it worthwhile and it was a beautiful cathedral. Glad we went!,"July 4, 2019"
Saint Paul's Cathedral seems to be plain from the outside. Inside is a different story. One of the most impressive Churches I have ever seen. Well worth the time to explore and learn about it's history.,"July 4, 2019"
The inside may be fine but charging 20 pounds to enter seems a bit steep. They claim to be a church but yet make such charges. My wife and I would have liked to go and offer a few prayers but would not spend 20 pounds each( about 50 US dollars) to do so. ,"July 4, 2019"
"This cathedral is truly beautiful. The architecture and the magnitude of the cathedral is amazing. I highly recommend taking the hike to the top! There are 528 steps to view the city from the dome at 365 feet. It’s all stairs up and down. Going up, of course, was challenging due to some tight spaces. If you are very tall, watch your head! The way down was a breeze! At the top, it is tight and you walk in a line, in a clockwise direction. There isn’t much room to move around. The views are absolutely breathtaking and this was definitely a highlight of our trip! Well worth the effort to climb to the top. And it was a great way to work off all that beer and fish and chips we had for lunch ","July 4, 2019"
"After a less-than-satisfying visit to the Tower of London, we decided not to risk wasting the high admission cost to see inside the cathedral lest we experience what we experienced at the Tower. Outside it looked interesting.","July 4, 2019"
a very good place and also a historical place to visit. u must visit this place when you visit london. ,"July 3, 2019"
"The audio tour that is free with entrance to the Cathedral is extremely well done, and I would highly recommend taking the time to use it. I have attended Even song there in the past, but taking the tour with the audio guide helped me appreciate it so much more.","July 3, 2019"
"This is a beautiful piece of art. From the outside in, there is much to keep your eyes attention. Magnificent.","July 3, 2019"
I attended an Evensong there which was very enjoyable and I also enjoyed walking around the cathedral. I didn't do the official tour.,"July 3, 2019"
"I arrived to the St. Paul Cathedral shortly before 11:00 am just in time for the 90 minutes Verger’s tour, which is included in the ticket price. The tour was informative but unfortunately our guide spoke very quietly and it was really hard to hear him. I wanted to go up to the Whispering Gallery but it was closed (a teen fell to his death from the gallery at the end of March). My husband and I had done the climb all the way to the roof many years ago and it was the most challenging one we had ever tried anywhere in the world. The tour of the Crypt and heroic history of the Cathedral during the WWII were the main reasons I opted for a 90 minutes tour, but there are also 30 minute tours available for those who just want an overview. I never expected to spend 3 hours in the Cathedral, but I did and am really happy about it: it was enough time to appreciate its beauty inside and outside and get a solid history lesson. Sir Christopher Wren created a stunning architectural masterpiece which has become a landmark of London. It is one of my own favorite cathedrals in the world. ","July 2, 2019"
Beautiful !!!! Included with the London Pass. Walked up to the dome. Not worth it. A lot of steps. You can see the same view London skyline without the steps from other attractions. ,"July 2, 2019"
The view inside this gorgeous cathedral is breathtaking and not one to be missed. The history of St. Paul's Cathedral is extensive so try to take a tour led by a tour guide to get the best visit.,"July 2, 2019"
We were astounded to see that well over 300 people attended the super Evensong with twelve choristers who sounded like 30. Then we found out that the 20 pound entrance fee is waived for the services. Twenty quid? what are these people thinking of???,"July 2, 2019"
"The queue to get in was not very long and a queue only forms due to security checks, which is understandable. Pick up the audio or join one of the guided tours to get the full history, and information on what is held there. We did not do the whispering gallery but it was open. The crypt has some lovely monuments, and the shop is worth a visit. A good couple of hours spent here worth the entry fee.","July 2, 2019"
"We got in free if you went to the quick Eucharistic Mass. It is very beautiful to see this building, however, I am not sure I would have paid the money. Westminster Abbey, on the other-hand, WAS worth the money. So, if you can get in free to attend Mass, then I would do it that way. ","July 1, 2019"
"St Pauls is definitely worth a visit if you are in London. you can buy the tickets easy enough just there. there is also a lovely little coffee shop just beside it and you can get snacks etc there. i think the best day to go there is a sunday as you can get a service too. it is also on the big bus tour, so you can get off and have a look around. this is a beautiful part of london.","July 1, 2019"
"St. Paul's was included on the London Pass and it was wonderful! No line ups, lots to see and explore and one of the very few places you're able to take photos! The crypt was so fascinating with many famous people buried there. ","June 30, 2019"
"You will likely encounter long lines, but it is a definitely worth visiting.I would recommend a guided tour as there is so much to see and it's hard to know what you are really looking at. We went for a part of a guided tour, but unfortunately, our guide wasn't that good, so we cut it short and counted on the audio guide, which was okay, but none of the information really stuck.Travelling to the top of the dome is fun, but not for those who are easily claustrophobic or have difficulty climbing stairs.The view of the city from above is great.","June 30, 2019"
"Upon arrival at St Paul’s, we took a tour - with Lena - who was great. And told us so much about the cathedral, and it’s history. It’s always a good idea to do the tours anywhere you go. You can only see a small part of such an historic and enormous building anyway.We visited on a beautiful day - and consequently saw the mosaics with the sun shining on them.Though personally, we preferred the cathedral as first built in plain stone (nave), without the Victorian amendments. They clearly involved an enormous amount of work, but appeared (to us) to detract from Wren’s original idea of space and light.We stayed for the sung evensong, which was amazing. Much credit to the choir and the choir master.","June 30, 2019"
"This large church is similar to St Peter's in Rome in scale and the Pantheon in Paris in size and purpose. it is filled with memorials to the war dead and military heroes. Be sure to see the monuments and tombs of Wellington and Nelson. The space is very impressive and is fun just to sit in and look around.Do climb to the top of the dome. It is a lot of steps and is quite crowded as you get near the top, as the stairways are narrow, steep and spiral (don't wear a short skirt, as people behind you may be entertained on the walk up). The view from the top is great, but again very crowded. So you will not be able to just stand and enjoy the view. But we love to climb to the top of everything.","June 29, 2019"
"If you wish to see the Cathedral without the fee, look up the service times and arrive a half-hour early. There is security to enter/bag check and no photos are allowed inside. I dont know the procedure or times for climbing up he tower of the church. I believe there is a fee to go up.","June 29, 2019"
"An iconic cathedral, worth a visit, but try go on Sunday as it is free. The rest of the week there is an admission fee. 20UK Pounds per person. Though it a bit steep it is worth it.","June 28, 2019"
Lots of Amazing things to see and the views are incredible. Be aware if you want to walk to the top tower its a LOT of steps. And can be tiring unless you are in good shape. But once up there the view is great,"June 28, 2019"
"This cathedral is just gorgeous, inside and out! It's worth the fee to go inside and take the self-guided audio tour. If you are really adventuresome and very fit, take the 528 stairs to the Golden Gallery, which is actually at near the top of the dome and is a walkway around the outside. Great views of London from all angles. Don't miss the crypt with the tombs of The Duke of Wellington and others. No words can describe the beauty of the interior of this cathedral. Second only to St. Peter's in Rome.","June 27, 2019"
"Part of The London Tour with The London Eye. James, our tour guide was just the best guide! He was so knowledgeable of every aspect of this cathedral! ","June 27, 2019"
"Probably been spoilt recently by seeing St John's Co Cathedral in Valetta and living by York Minster. Not as impressed as I thought I would be and with no pews, just plastic chairs, more like a mausoleum honoring the wars. Fabulous ceilings.","June 27, 2019"
We stumbled across this beautiful old church on a recent trip. We decided not to go inside as the entry fee is rather steep. Instead we admired the church from the outside and walked around the gardens for a little while. A very lovely way to spend an hour or so.,"June 27, 2019"
An ordinary cathedral just like the one you see all around eroupe. Nothing very exciting about it...,"June 26, 2019"
We didn’t do the paid tour but just walked in the beautiful church and marveled at its size and magnificent design. Truly is a sight to see. There was a music program about to begin so we heard the organ and some singing. The organ was great and it was just a practice....,"June 26, 2019"
I spent three hours touring this lovely piece of architecture. Got there around 10 which was the perfect time. Walked around with a self guided tour until 10:30 when I got on a 90 minute free! Guided tour. So worth it! Afterwards I walked up the 500+ steps for a spectacular view of London! It was amazing! Walked back down and was able to catch the daily sermon and communion. I even lost my sunglasses and they found them! If you have kids make sure they are interested in history if they go in the tour,"June 26, 2019"
